year,release_date,category,genre,title,creator,title_image,introduction,country_category,country_name,video,production,distribution,grade,runtime,remake,cast,staff,awards,series,soundtrack,amount,ref_video
2012,2012 .08.01 개봉,영화,"공포, 스릴러, 미스터리",그레이브 인카운터,더 비셔우스 브라더스,https://movie-phinf.pstatic.net/20120702_145/1341211514224oiH62_JPEG/movie_image.jpg,폐쇄된 죽음의 정신병원 그 충격적 비밀을 밝히기 위한 TV 리얼리티쇼가 시작된다!@ 어느덧 6회째를 맞은 리얼리티 TV쇼 ‘그레이브 인카운터’의 진행자인 랜스 프레스톤과 촬영팀은 도시의 폐가이자 귀신이 출몰하는 것으로 유명한 콜링우드 정신병원을 찾는다. 수십 년 전 폐쇄된 이 건물 안에서 충격적인 영상을 담기 위해 하룻밤 동안 묵으며 모든 현상을 기록해 나가던 촬영팀.점차 시간이 지날수록 미로처럼 변해버린 건물과 위협적인 존재에 대한 공포감에 사로잡히게 된다. 급기야 촬영팀들도 한 명씩 사라지게 되고 콜링우드 정신병원은 실제 공포의 공간으로 변모한다. 그로부터 몇 개월 후 발견된 여러 개의 테잎 그리고 그 안에 담겨진 충격적인 영상…@ 과연 그들에게 무슨 일이 있었던 것일까?@ 병원에 숨겨진 공포의 실체는 무엇인가?,해외,캐나다,kq_KGiWpK04,(주)루믹스미디어,(주)팝엔터테인먼트,15세 관람가,93분,-,벤 윌킨슨 밥 라디 메어윈 몬디저 숀 맥도널드 루이스 하비에르 아서 코버 미셸 커민스 맥켄지 그레이 애쉬리 그리즈코 주안 리딩거 숀 로저슨 ,  더 비시어스 브라더스 The Vicious Brothers (각본) 숀 엔젤스키 Shawn Angelski (제작) 마이클 칼린 Michael Karlin (협력프로듀서) 토니 미르자 Tony Mirza (촬영) 마이클 벤드너 Michael Bendner (조감독) 쿠인 크래드독 Quynne Craddock (음악) 폴 맥컬로크 Paul McCulloch (미술) 나탈리 사이먼 Natalie Simon (의상) 더 비시어스 브라더스 The Vicious Brothers (편집) 엠버 마카 Amber Makar (분장부문) 리비 내글 Libby Nagle (분장부문),배우/제작진 수상 이력@수상정보 테이블표@2012@제 19회 제라르메 국제판타스틱영화제@후보@EXTREME (더 비셔우스 브라더스)@2011@제 10회 트라이베카 필름 페스티벌@후보@시네마니아 (더 비셔우스 브라더스)@제 44회 시체스영화제@후보@미드나잇 익스트림 (더 비셔우스 브라더스)@제 16회 부산국제영화제@후보@미드나잇 패션 (더 비셔우스 브라더스),-,-,413,d3yA0Y61tLY
2012,2012 .05.24 개봉,영화,다큐멘터리,그리움의 종착역,조성형,https://movie-phinf.pstatic.net/20120509_264/1336547444533IvbBA_JPEG/movie_image.jpg,1970년 대 초 간호사로 이역만리 독일로 떠났던 세 명의 여성이 황혼이 되어 독일인 남편과 고국으로 돌아온다. 남해의 한 마을에 “독일마을”이라는 보금자리를 만들어 정착 생활을 시작하지만 30여 년의 시간은 자신이 태어난 모국이 낯설게 느껴지는 상황을 만든다. 그들에게는 삶의 공간이지만 아름다운 풍광으로 유명세를 타서 본의 아니게 평온한 삶의 위협까지 받고 있는 이들. 제2의 고향이었고 오랜 시간을 머물렀던 독일에 대한 그리움이 생긴다. 하지만 그들은 슬퍼하지 않고 타일 지붕과 독일식 흰색 소시지를 파는 가게들이 즐비한 독일 마을을 이루어 살면서 문화적 균형을 이루며 한국에 적응하는 법을 차츰 배워간다.,해외,한국 / 독일,QBDLF2ePdv0,에스와이코마드,에스와이코마드,전체 관람가,99분,-,빌리 엥엘프리트 우춘자 아르민 타이스 영숙 타이스 루트비히 슈트라우스 킴 우자 슈트라우스 킴 ,  조성형 Cho Sung-Hyung (각본) Roshanak Behesht Nedjad (제작) Helge Albers (제작) Nicole Baum (공동제작) Axel Schneppat (촬영) Ralph Netzer (촬영) Stefan Grandinetti (촬영) 조성형 Cho Sung-Hyung (편집),배우/제작진 수상 이력@수상정보 테이블표@2009@제 6회 독일 아시아 영화제@후보@상영작 (조성형)@제 29회 하와이국제영화제@후보@상영작 (조성형)@제 59회 베를린국제영화제@후보@경쟁부문 (조성형)@제 14회 부산국제영화제@후보@와이드 앵글 (조성형),-,-,-,QBDLF2ePdv0
2012,2012 .07.25 개봉,영화,"애니메이션, 모험",극장판 도라에몽 진구와 기적의 섬 : 애니멀 어드벤처,쿠스바 코조,https://movie-phinf.pstatic.net/20120718_108/134259767964274OOz_JPEG/movie_image.jpg,곤충씨름에서 이기기 위해 500년 전 장수풍뎅이를 불러오려다가 ‘자이언트 모아’를 데려온 진구와 도라에몽.@ 이미 멸종된 ‘자이언트 모아’를 위해 고대 동물들이 모여 산다는 “베레가몬드 섬”으로 가게 된다.@ 여기서 기적의 섬의 파워를 훔치려는 악덕 상인 샤먼의 음모와 만나게 되는데..@ 과연 도라에몽과 친구들은 기적의 섬을 지켜낼 수 있을까?@ 기적의 섬에서 만난 또 다른 진구의 정체는?!,해외,일본,JVv4HD_Y-Zs,대원미디어,롯데엔터테인먼트,전체 관람가,100분,-,스즈키 후쿠 야마데라 코이치 타나카 아츠코 미즈키 나나 노자와 마사코 치아키 세키 토모카즈 키무라 스바루 카카즈 유미 오오하라 메구미 미즈타 와사비 ,  시미즈 히가시 Higashi Shimizu (각본) 후지코 F 후지오 F. Fujio Fujiko (원작자),-,-,-,165640,URLjHV2h9ng
2012,2012 .05.24 개봉,영화,애니메이션,극장판 썬더일레븐 GO : 궁극의 우정 그리폰,미야오 요시카즈,https://movie-phinf.pstatic.net/20120409_278/13339706447123NE2q_JPEG/movie_image.jpg,썬더코리아의 세계제패 이후 최고의 인기를 누리고 있는 축구는 피프스 섹터로부터 경기의 결과까지도 관리되는 상황에 처한다. 천둥 중학교 축구부 신입 부원 ‘천마루’와 친구들은 진정한 축구를 되찾기 위해 애쓰지만 피프스 섹터의 명령으로 의문의 섬 ‘갓 에덴’으로 끌려가게 되고 수수께끼의 시드 팀 ‘언리미티드 샤이닝’과 시합을 벌이나 힘없이 패하고 만다. 위기에 처한 축구부 앞에 행방불명이었던 ‘강수호’와 전설의 선수들이 모습을 드러내는데…@ 전설의 천둥일레븐과 특훈을 시작한 천마루와 축구부는 시드와의 재시합에서 승리하고 갓 에덴의 비밀과 성제 알렉스의 음모를 밝혀낼 수 있을 것인가!?,해외,일본,2KBIYaiRFQM,LEVEL 5  FC 썬더일레븐 GO MOVIE 2011,CJ E&M(주) 투니버스  CJ E&M 영화부문,전체 관람가,94분,-,다케우치 준코 사와시로 미유키 후쿠야마 쥰 사이가 미츠키 오오하라 타카시 테라사키 유카 ,  히노 아키히로 Akihiro Hino (각본) 히노 아키히로 Akihiro Hino (원안) 히노 아키히로 Akihiro Hino (기획) 미마 마사후미 Masafumi Mima (음향) 나카지마 토시히코 Toshihiko Nakajima (음향) 데라다 시호 (음악),-,-,-,84255,-
2012,2012 .12.13 개봉,영화,액션,극장판 파워레인저:캡틴포스 VS 미라클포스 199 히어로 대결전,타케모토 노보루,https://movie-phinf.pstatic.net/20121120_155/1353394988723WMI2S_JPEG/movie_image.jpg,우주악당 '잔개크'를 격퇴시킨 <레전드 대전> 이후 수년이 흐르고...@ 지구에서는 우주 최대의 보물을 찾기 위해 온 '캡틴포스'가 습격을 멈추지 않는 잔개크와 치열한 다툼을 계속하고 있다.@ 바로 그때 레전드 대전 이후 힘을 잃어버린 '미라클포스'가 나타나고 잔개크와 싸우기 위해 캡틴포스로부터 '레인저키'를@ 빼앗으려고 한다. 반면 잔개크는 지옥에서 부활한 '흑십자왕'과 손을 잡고 하나 둘씩 악의 무리를 부활시키기 시작하는데...@ 과연 199개의 레인저키를 갖게 되는 최종 승자는 누가될 것인가?,해외,일본,5WomlVuAdBA,대원미디어,롯데엔터테인먼트,전체 관람가,81분,-,이나다 테츠 이소베 츠토무 카미야 아키라 오오츠카 아키오 야나다 키요유키 토비타 노부오 신도 가쿠 이노우에 키쿠코 이시이 코지 노지마 히로후미 코니시 카츠유키 타무라 유카리 마코토 나오야 미야우치 히로시 하루타 준이치 사토 켄타 타카하시 미츠오미 아이자와 리나 소마 케이스케 스즈키 쇼고 츠보쿠라 요시유키 키쿠치 미카 오노 켄토 니와 미키호 하마오 쿄스케 사토 리카 코이케 유이 시미즈 카즈키 이치미치 마오 야마다 유키 오자와 료타 치바 유다이 ,  아라카와 나루히사 Arakawa Naruhisa (각본) 하테 사부로 Saburo Hate (원작자) 이시노모리 쇼타로 Shotaro Ishinomori (원작자) 야마시타 코우스케 Kosuke Yamashita (음악) 미야케 카즈노리 Kazunori Miyake (음악),-,-,-,-,-
2012,2012 .12.19 개봉,영화,"애니메이션, 모험",극장판 포켓몬스터 베스트위시 : 큐레무 VS 성검사 케르디오,유야마 쿠니히코,https://movie-phinf.pstatic.net/20121015_251/1350300063539IjFfH_JPEG/movie_image.jpg,포켓몬 마스터를 목표로 하나지방을 여행하고 있는 지우와 피카츄 아이리스 덴트는 타고 있던 기차에서 지금껏 본 적이 없는 포켓몬이 상처를 입고 쓰러져 있는 것을 발견한다.@ 그 포켓몬은 다름 아닌 포켓몬과 세계를 지키는 3마리의 ‘성검사’(코바르온 테라키온 비리디온)의 후계자로 일컬어지는 어린 검사 ‘케르디오’.@ 의식을 잃은 케르디오를 돌보기로 한 지우와 친구들은 지상 최강의 드래곤 포켓몬 ‘큐레무’에게 느닷없이 습격을 당한다.@ 큐레무는 블랙큐레무와 화이트큐레무로 모습을 바꾸며 압도적인 힘으로 지우 일행을 계속 쫓아오는데..! 과연 그 이유는? 지우와 친구들은 큐레무의 공격에서 무사히 벗어날 수 있을까!!,해외,일본,ZcdUqtuhXx4,(주)포켓몬코리아,-,전체 관람가,93분,-,미야노 마모루 마츠모토 리카 오오타니 이쿠에 ,-,-,-,-,-,9-MOxQvd9qQ
2012,2012 .06.14 개봉,영화,"액션, 드라마, 서사",금의위: 14검의 비밀,이인항,https://movie-phinf.pstatic.net/20120515_274/1337051100973fGE11_JPEG/movie_image.jpg,<300>의 스파르타 같은 훈련과 서로를 죽이는 적자생존에서 살아남은 황제의 비밀 호위 무사이자 절대 무공의 집단 '금의위'. 이들 중 최고의 무공을 지닌 우두머리 '청룡'(견자단)에겐 황제가 특별 하사하는 14자루의 검 대명 14세가 주어진다. 심문용과 살상용 그리고 적에게 잡혔을 때를 대비한 자결용으로 나뉘어진 보검은 그의 손에서 빛을 발한다. 오직 황명과 황실의 운명에 의해서만 움직이는 '청룡'은 어느 날 배신과 음모에 빠져들게 된다. 청룡은 절대 무공의 고수들과 한치 앞도 알 수 없는 팽팽한 전쟁을 이어가며 황실의 운명 또한 바꾸어야 하는데...,해외,홍콩 / 중국,LKz3HGO0JxI,조이앤컨텐츠그룹,(주)팝 파트너스,15세 관람가,112분,-,풍극안 서향동 유송인 나가영 금래군 진지휘 진관태 척옥무 우마 서자산 오존 홍금보 자오웨이 견자단 ,  이인항 Daniel Lee Yan-Gong (각본) 광문위 (각본) 임중륜 (출품인) 증패산 (출품인) 증패산 (제작) 장동량 (촬영) 헨리 라이 Henry Lai (음악) 하검웅 Cyrus Ho Kim-Hung (미술) 김용우 (시각효과) 마크 가바리노 Mark Garbarino (분장) 장가휘 Cheung Ka-Fai (편집) 곡헌소 Guk Hin-Chiu (무술연출),배우/제작진 수상 이력@수상정보 테이블표@2011@제 21회 유바리국제판타스틱영화제@후보@초청영화 (이인항)@2010@제 43회 시체스영화제@후보@오피셜 판타스틱 스페셜 파노라마부문 (이인항)@제 29회 홍콩금상장영화제@후보@무술감독상 (Ku Huen Chiu),-,-,8589,RtjTxNXXpo0
2012,2012 .11.22 개봉,영화,멜로/로맨스,"금지된 섹스, 불륜 2",이세일,https://movie-phinf.pstatic.net/20130110_200/1357798450119H9l4S_JPEG/movie_image.jpg,경수와 민경은 10년차 커플. 10년동안 손만 잡고 하룻밤을 보낸 커플. 역시나 오늘도 한번만 하자고 조르는 경수. 절대 결혼 전에는 하지 않겠다는 민경 때문에 애가 탄다. 경수는 어쩔 수 없이 야동으로 해결하고 마는데... 더 이상은 안되겠다며 민박집을 하는 친구에게 전화를 해서 방 하나만 남게 해달라며 그쪽으로 민경과 놀러 가는 경수... 공기 좋은 곳에 도착한 경수와 민경... 맞이해주는 수환... 생각할 겨를도 없이 방2개를 달라는 민경의 말에 당황해 하는 경수와 수환. 그러는 사이에 묘령의 여인이 지나간다...왠지 그 여자에 끌리는 경수. 그 묘령의 여인이 밖을 나가자 몰래 따라가기 시작한다...@ 경수가 없는 것을 확인하자 조금 찾아 다니다가 힘든 나머지 낮잠을 자기 시작한다@ 묘령의 여인을 계속 몰래 쫓아가는 경수... 깊지 않은 계곡에 들어가서 몸을 닦는 묘령의 여인... 계속 은근히 경수를 쳐다보면서 은밀한 유혹을 보낸다... 뭔가 홀린듯한 표정의 경수. 샤워를 하고 어딘가로 걸어간다... 몰래 계속 뒤쫓는 경수와 .묘령의 여인은 과연 어떤 식으로 서로를 마주하게 될지…?!,국내,한국,-,-,-,청소년 관람불가,63분,-,강민우 민지근 한예슬 장예지 ,-,-,-,-,-,-
2012,2012 .09.27 개봉,영화,다큐멘터리,깔깔깔 희망버스,이수정,https://movie-phinf.pstatic.net/20120911_177/1347347615105xiASc_JPEG/movie_image.jpg,나는 대체로 편안하게 살고 있었다 그 버스를 타기 전까지는. 2011년 6월 버스를 타면서부터 내 일상은 뒤집어졌다. 처음엔 단순한 탑승객이었다. 다른 사람들처럼 미안했고 보고 싶었고 조금이나마 힘이 되고 싶었다. 나는 그 놀라운 장면의 주인공들을 카메라에 담기 시작했다. 희망을 만들어가는 사람들 버스를 만들고 버스에 탄 사람들 그리고 언제까지일지 모를 고공농성을 몇 달째 이어가는 김진숙과 크레인을 지키는 노동자들. 저 멀리 높고 위태로운 곳에 있는 그녀는 트위터로 세상 사람들과 소통하며 친구가 되었다. 그리고 나도 어느새 그녀를 사랑하게 되었다… 과연 우리는 그녀를 무사히 만날 수 있을까?,국내,한국,wfd4usei0b0,영화제작소 다,(주)마운틴픽쳐스,15세 관람가,84분,-,박성미 김진숙 김여진 ,  이수정 Lee Soo-jung (구성) 이수정 Lee Soo-jung (촬영) 양정원 (음악),배우/제작진 수상 이력@수상정보 테이블표@2012@제 14회 서울국제여성영화제@후보@쟁점들 (이수정),-,-,-,k6FKiv_5gGE
2012,2012 .08.30 개봉,영화,"드라마, 에로",꽃과 나비,카나자와 카츠지,https://movie-phinf.pstatic.net/20120822_82/1345625171090HbS8G_JPEG/movie_image.jpg,호리노부는 자신이 인정하는 사람이 아니면 문신을 새겨주지 않는 남자다. 그에게는 미모의 여제자 미사키가 있었고 그녀는 스승을 남자로서 사랑하고 있었다. 그러던 어느 날 호리노부의 딸인 레이카가 20년 만에 돌연히 찾아온다. 죽은 아내와 너무나도 닮은 딸의 모습에 호리노부는 예전 기억이 떠오르며 혼란스러워 한다. 한편 딸 레이카는 아버지가 사랑하는 아내를 위해 살인을 저질렀다는 사실을 알게 되고 점점 아버지에게 마음을 열게 된다. 부녀가 급속도로 가까워지는 모습을 지켜보던 미사키의 질투심은 점점 커져가고 호리노부를 차지하기 위해 극단적인 일까지 서슴치 않는데…,해외,일본,_-ArMxEC8WA,-,-,청소년 관람불가,73분,-,하야미 쿄코 츠키노 리사 오츠카 사키 ,-,-,-,-,-,Ds1uIIazbAw
